Episode,Num Stages,Rounds Won,Total Rounds,Episode Win,Total Reward
1,2,2,5,0,-2.3524229074889864
2,2,2,5,0,1.718061674008809
3,2,2,4,0,-0.45814977973568155
4,3,4,8,0,-0.3083700440528633
5,1,1,3,0,-0.2555066079295145
6,2,2,4,0,0.3524229074889873
7,2,2,5,0,-0.7665198237885468
8,3,5,8,0,0.7136563876651991
9,3,4,7,0,3.0132158590308347
10,2,2,6,0,-1.2511013215859024
11,2,2,4,0,0.12334801762114735
12,2,2,5,0,-1.6475770925110127
13,2,2,4,0,-2.0792951541850195
14,2,3,5,0,2.33480176211454
15,3,4,6,0,3.013215859030841
16,4,6,10,0,0.42290748898678654
17,2,2,4,0,-2.0088105726872225
18,2,2,4,0,0.8810572687224664
19,2,2,5,0,-0.1145374449339213
20,2,2,4,0,-0.6607929515418491
21,5,9,11,0,3.2511013215858813
22,3,5,7,0,2.969162995594699
23,3,4,7,0,0.66079295154184
24,2,3,5,0,1.0396475770925104
25,2,2,5,0,0.9603524229074886
26,2,2,4,0,1.4449339207048464
27,3,4,6,0,1.2775330396475766
28,2,2,5,0,2.86343612334802
29,2,2,4,0,-1.5947136563876652
30,2,2,5,0,-0.3964757709251091
