Episode,Num Stages,Rounds Won,Total Rounds,Episode Win,Total Reward
1,1,0,2,0,-30
2,1,0,2,0,-56
3,1,0,2,0,-51
4,1,0,2,0,-31
5,1,0,2,0,-54
6,1,1,3,0,-76
7,1,0,2,0,-84
8,1,0,2,0,-92
9,1,0,2,0,-53
10,1,1,3,0,-89
11,1,0,2,0,-22
12,1,0,2,0,-27
13,1,0,2,0,-71
14,1,0,2,0,8
15,1,0,2,0,-69
16,1,1,3,0,-37
17,1,0,2,0,-32
18,1,0,2,0,-64
19,1,0,2,0,-25
20,1,0,2,0,-26
21,1,0,2,0,-72
22,1,0,2,0,-82
23,1,0,2,0,-20
24,1,0,2,0,-17
25,1,0,2,0,-68
26,1,0,2,0,-64
27,1,0,2,0,-16
28,1,1,3,0,-82
29,1,0,2,0,-51
30,1,1,3,0,-105
