Episode,Num Stages,Rounds Won,Total Rounds,Episode Win,Total Reward
1,5,8,10,0,8.837004405286363
2,3,5,8,0,6.634361233480189
3,4,6,9,0,5.709251101321582
4,2,3,5,0,3.400881057268707
5,2,3,5,0,4.792951541850224
6,6,10,14,0,7.6563876651981895
7,5,9,14,0,7.074889867841386
8,4,7,10,0,7.938325991189423
9,2,3,5,0,2.872246696035244
10,4,6,8,0,6.052863436123363
11,5,9,15,0,4.414096916299517
12,2,3,5,0,5.823788546255527
13,5,9,13,0,6.704845814977933
14,5,8,11,0,6.854625550660764
15,5,9,12,0,8.132158590308352
16,4,6,9,0,6.2202643171806065
17,4,6,8,0,4.2114537444934
18,5,9,11,0,11.356828193832628
19,5,9,11,0,8.396475770925093
20,6,10,14,0,4.255506607929497
21,4,6,9,0,2.5198237885462684
22,4,7,9,0,7.066079295154168
23,2,3,5,0,1.8414096916299527
24,5,8,10,0,8.819383259911861
25,5,8,12,0,7.0837004405286
26,4,7,9,0,5.259911894273097
27,4,7,10,0,5.691629955947119
28,4,7,9,0,3.3480176211453534
29,4,6,9,0,8.599118942731264
30,5,9,13,0,10.599118942731282
