Episode,Num Stages,Rounds Won,Total Rounds,Episode Win,Total Reward
1,1,0,2,0,-52
2,1,0,2,0,-34
3,1,0,2,0,-38
4,1,0,2,0,-12
5,1,1,3,0,-22
6,1,0,2,0,-18
7,2,2,4,0,-48
8,2,2,5,0,-2
9,2,2,5,0,51
10,1,0,2,0,-15
11,1,0,2,0,28
12,1,0,2,0,19
13,1,1,3,0,-14
14,1,0,2,0,-13
15,1,1,3,0,-81
16,1,0,2,0,-3
17,1,1,3,0,-41
18,2,2,4,0,1
19,1,0,2,0,-16
20,2,2,4,0,29
21,2,3,5,0,16
22,1,0,2,0,-8
23,1,1,3,0,-55
24,1,0,2,0,34
25,1,0,2,0,-22
26,1,0,2,0,7
27,1,0,2,0,-19
28,1,0,2,0,-50
29,1,1,3,0,-50
30,1,0,2,0,-19
