Episode,Num Stages,Rounds Won,Total Rounds,Episode Win,Total Reward
1,2,3,6,0,-175
2,4,6,9,0,-189
3,1,0,2,0,-63
4,2,2,4,0,-112
5,2,2,4,0,-98
6,2,2,5,0,-132
7,1,1,3,0,-62
8,1,0,2,0,-81
9,1,0,2,0,-36
10,2,2,5,0,-136
11,1,1,3,0,-34
12,1,0,2,0,-59
13,1,0,2,0,-56
14,1,0,2,0,-119
15,1,0,2,0,-16
16,1,0,2,0,-68
17,2,2,4,0,-117
18,1,1,3,0,-122
19,1,1,3,0,-81
20,1,0,2,0,-67
21,1,0,2,0,-86
22,1,0,2,0,-67
23,1,0,2,0,-2
24,1,1,3,0,-86
25,1,0,2,0,-36
26,1,0,2,0,-40
27,1,1,3,0,-58
28,1,0,2,0,-39
29,1,0,2,0,-49
30,1,0,2,0,-50
